Tasks: 200,
Gap: 40,
Threads: 8,
Verificacion ns,Consulta ms
101594,83
46594,88
59905,155
44013,136
52711,99
51245,99
34384,133
50634,97
46625,487
36786,225
29873,91
28483,95
33500,82
60998,92
43635,149
52946,96
43203,105
44357,120
55582,267
42204,113
50324,114
37780,140
33387,95
41534,139
48524,89
37731,108
37852,95
52118,137
29517,253
37542,102
36708,103
50764,96
56531,175
40486,92
45434,95
44250,457
47657,96
38806,95
34550,403
43345,99
42698,455
52853,251
41427,542
44851,570
38035,115
36203,96
38210,323
50347,163
41711,167
43720,109
29980,162
49446,201
43470,575
36154,301
35336,187
55194,367
36281,113
56633,112
31299,159
29149,95
38418,97
28984,99
42812,121
46775,103
48781,106
50229,324
39784,651
41358,95
40023,99
37566,99
49386,131
47902,95
46954,763
51236,184
46728,83
26814,83
28976,99
44050,95
40676,332
51657,93
44514,401
39245,106
39195,82
48095,89
16875,707
30815,91
42329,132
49109,636
32551,675
33218,559
47410,92
39483,509
37734,104
44448,109
48327,248
37378,115
38261,152
30950,92
41203,532
41635,100
38068,99
34311,262
29146,420
28820,119
30365,444
44908,155
50074,101
47060,95
48847,110
54062,147
47871,111
76851,271
59656,117
40534,117
49432,127
57606,96
62131,96
44556,980
48368,91
47646,272
50688,107
32324,100
49716,100
56759,287
60425,96
31735,1251
33253,594
35742,896
39611,972
34845,1056
35017,107
29320,152
33868,137
52533,122
41706,237
36745,327
42703,624
42455,218
41775,81
36135,105
37349,181
49105,401
41395,658
30007,167
51734,93
37963,99
31968,89
49141,635
50430,826
43234,159
43228,120
37638,486
53872,99
34370,356
49199,755
34560,89
45643,209
34851,165
50317,559
45120,99
31931,510
36574,96
50011,89
52010,103
52220,149
48862,265
45037,99
61583,91
36882,851
32711,83
41903,92
31359,240
42221,87
28025,158
46538,83
36417,91
41856,105
23143,97
36423,109
32028,89
48346,1000
37593,83
31268,87
38511,363
47511,739
27116,150
26382,81
41276,191
40212,87
56519,463
35030,223
76428,194
32415,395
30568,230
44473,97
39659,83
51251,84
31662,88
41191,81
30382,82
Numero de fallos: 0,
